Salary,NBA_Country,Age,Tm,MP,PER,TS%,3PAr,FTr,STL%,BLK%,USG%
14100000,USA,26,MIL,2857,17.4,0.579,0.327,0.282,2,0.6,24.5
815615,Canada,25,ORL,481,14.6,0.543,0,0.388,1.1,3,12.8
1471382,USA,21,GSW,819,14.4,0.581,0.024,0.455,1.8,4.9,12.3
22642350,USA,29,CLE,1556,22.4,0.608,0.441,0.367,1.3,1.3,25.3
25000000,USA,29,GSW,2196,26.2,0.643,0.337,0.331,1,4.2,30.3
17745894,USA,24,LAL,2377,13.5,0.57,0.523,0.25,2.1,0.5,16.9
16910113,USA,28,ATL,1789,14.5,0.547,0.405,0.297,2.7,2.2,22.5
12921348,USA,28,DEN,461,17.4,0.552,0.007,0.345,1.3,2.4,18.2
12000000,USA,27,CHO,2663,20.7,0.571,0.441,0.307,1.6,0.8,27.5
2093040,USA,22,WAS,2121,12.2,0.539,0.465,0.299,1.7,1.4,19.4
10607169,Canada,26,MIA,1720,18,0.615,0.44,0.27,1.8,1.7,21.6
1312611,USA,22,DET,3,-31.6,0,0.5,0,0,0,44.2
1312611,USA,22,CHI,134,3.6,0.386,0.273,0.182,1.1,0.7,28
1312611,USA,22,TOT,137,2.9,0.375,0.279,0.176,1.1,0.6,28.4
18868625,USA,26,SAS,210,26,0.572,0.315,0.342,4.3,3.6,30.6
6216840,USA,22,MIN,2770,24.8,0.645,0.249,0.351,1.1,3.5,22.9
2947305,Bosnia & Herz...,23,POR,1966,19.1,0.529,0.008,0.292,1.5,4.3,26.6
2705040,USA,21,MIA,1587,11.5,0.498,0.271,0.208,1.6,1.8,16.2
2247480,USA,20,MIN,4,19.8,0.5,0,0,12.5,0,22.1
2365560,USA,22,SAC,1413,9.8,0.53,0.429,0.09,1,0.8,14.4
4615385,USA,28,CHI,2180,10.9,0.518,0.574,0.211,1.7,1.3,18
1579440,USA,24,PHI,485,11.9,0.523,0.486,0.197,1.4,1,18.8
1524305,USA,29,CHO,106,6.7,0.635,1,0.286,0.9,1.6,5.7
4149242,USA,23,LAL,2099,19.8,0.605,0.05,0.468,0.9,1.7,25.2
2076840,Spain,22,DEN,275,10,0.517,0.662,0.162,1.1,0.9,13.9
25686667,USA,27,NOP,2788,17.4,0.566,0.288,0.193,1.9,1.7,23.2
5400000,USA,32,NOP,12,3.5,0.25,0,0,0,0,14.4
1471382,USA,24,MIA,2601,13.7,0.556,0.385,0.159,2.3,2.4,18.2
6021175,USA,30,DAL,6,-12.5,0,1,0,0,0,7.6
5090040,USA,20,PHO,1929,11.8,0.482,0.235,0.296,1.9,1.4,25.7
1471382,USA,26,OKC,979,5.3,0.413,0.628,0.111,0.8,4,9.4
1394520,USA,22,LAL,1312,11.2,0.579,0.53,0.243,1.5,0.9,12.5
92160,USA,24,PHO,86,7.3,0.349,0.317,0.268,4.5,1.9,26
2328652,Spain,36,CLE,888,11.5,0.652,0.517,0.167,1.5,0.2,11.7
1471382,USA,23,MIA,284,10.6,0.515,0.195,0.232,1.1,3,17.1
250000,USA,29,NOP,37,15.7,0.643,0.357,0,0,2.2,21.1
11562500,USA,25,TOT,1819,16.7,0.543,0.337,0.202,1.5,0.3,26.6
815615,USA,23,GSW,774,18.7,0.646,0.017,0.235,2.1,5.7,13.8
6300000,USA,28,ORL,2029,12.8,0.555,0.268,0.317,1.4,0.6,21.9
4186320,USA,20,ORL,536,9.8,0.465,0.317,0.172,3,4.5,15
15460675,Lithuania,25,TOR,1657,22.3,0.625,0.108,0.31,0.9,3.1,22.7
4000000,Sweden,30,UTA,1069,13,0.573,0.45,0.171,1.1,0.9,15.6
10497319,USA,28,DET,136,8.9,0.505,0.083,0.417,0.4,2,16.1
1524305,USA,24,CHO,379,12,0.47,0.251,0.146,1.2,1.3,22.5
18063850,USA,27,WAS,1335,18.5,0.507,0.249,0.358,1.9,2.7,29
11422536,USA,27,MIL,1869,15.8,0.587,0.015,0.318,1.1,4.8,15.1
1936920,USA,20,ATL,1690,18.4,0.624,0.083,0.34,1.2,4,17.9
1524305,France,26,SAS,523,16.5,0.542,0.027,0.242,0.9,0.5,20.4
6100266,Cameroon,23,PHI,1912,22.9,0.573,0.203,0.442,1,4.8,33.5
1312611,Ukraine,24,MIL,38,11.7,0.521,0.167,1,2.6,0,12.7
1471382,USA,25,IND,520,10.2,0.522,0.351,0.17,1.3,0.2,17.9
9505000,USA,36,TOT,1129,8.4,0.494,0.404,0.124,0.8,0.5,16
14136364,Australia,30,UTA,2461,14.3,0.622,0.652,0.115,1.8,0.6,16
1524305,USA,26,BRK,1916,13,0.626,0.576,0.169,0.9,0.7,16.7
3290000,USA,30,WAS,1087,12.3,0.545,0.528,0.3,1.3,0.3,18.9
17765000,USA,32,NYK,40,15.6,0.51,0,0.4,2.5,4.3,17.2
19301070,USA,28,MIN,2077,23.5,0.589,0.22,0.446,2.6,1,24.7
9000000,USA,29,PHI,925,7.6,0.546,0.557,0.168,1.2,0.5,15.1
1713840,USA,25,CHI,1574,14.5,0.531,0.37,0.387,1.8,0.4,17.3
12000000,USA,29,BRK,25,16,0.597,0.167,0.583,0,0,31.3
7000000,USA,25,CHO,1901,17,0.557,0.307,0.255,1.5,1.4,22.6
104059,USA,30,ATL,5,10.4,1,0,0,0,0,17.5
1524305,USA,23,OKC,1585,15.6,0.596,0.245,0.497,0.9,4.1,16
1577320,USA,27,DAL,39,8.3,0.444,0.625,0.125,0,6.8,22
19000000,USA,29,MIN,2166,16.1,0.55,0.286,0.303,2.2,0.9,20.4
2116955,USA,31,CLE,1715,14.2,0.571,0.269,0.371,1.1,1.6,19.5
5645400,USA,19,BOS,2383,15.1,0.586,0.293,0.308,1.6,2,19.4
92160,USA,22,ATL,98,6.9,0.452,0.29,0,1,0.9,16.5
4956480,USA,21,BOS,2062,13.3,0.556,0.376,0.287,1.6,1,21
815615,USA,21,LAC,778,7.2,0.421,0.213,0.194,2.2,0.6,17.7
2116955,USA,30,GSW,584,21.8,0.634,0.029,0.233,1.6,7.6,18.8
2328652,USA,40,MIL,762,8,0.531,0.746,0.063,2.4,1.4,10.1
5225000,USA,31,WAS,276,8.2,0.444,0.277,0.17,0.5,3.8,21.9
2328652,USA,34,NYK,1483,11.2,0.487,0.193,0.167,1.2,0.2,16.5
1713720,USA,19,BRK,1341,17.6,0.634,0.037,0.387,1,4.1,16.7
1471382,USA,23,MEM,1661,10.5,0.516,0.198,0.234,1.2,2.8,17.1
83129,USA,26,TOT,9,-1.9,0,1,0,5.6,0,9.8
10000000,USA,32,PHO,626,8.7,0.554,0.682,0.264,1.7,1.2,10.1
8533333,USA,27,MEM,1542,14,0.53,0.26,0.227,1.1,1.5,17.9
50000,USA,27,LAC,274,11.4,0.634,0.778,0.049,0.9,2.4,14.3
50000,USA,25,PHI,18,7.5,0.508,1,0.286,0,4.6,21.1
13954000,USA,30,MIA,1873,15.9,0.575,0.308,0.26,1.9,2.2,19
28299399,USA,28,HOU,2449,30.2,0.619,0.499,0.498,2.5,1.7,36.2
3028410,USA,27,TOT,1540,11.8,0.592,0.391,0.314,1.5,1.1,13.6
4736050,USA,35,TOT,1013,8.2,0.489,0.508,0.082,1.3,0.3,13.7
46080,USA,24,DAL,27,22.6,0.599,0,0.417,0,0,25.6
3355320,Canada,20,DEN,2414,16.2,0.577,0.414,0.238,1.6,0.9,22.9
10942762,USA,37,MIN,1566,13.5,0.527,0.425,0.154,1.2,0.4,24.2
2825640,Austria,22,TOR,1429,17,0.648,0.006,0.272,1.2,5.4,14.6
1312611,USA,23,POR,155,3.8,0.331,0.432,0.068,1.9,2.1,14.3
4995120,USA,22,TOT,353,15.4,0.584,0.029,0.21,0.4,3.9,21
6796117,USA,27,TOT,2007,10.3,0.531,0.506,0.226,1.5,0.8,16.9
50000,USA,28,PHI,6,-2.3,0.5,0.5,0,0,0,21.4
6782392,USA,22,MIL,621,17.3,0.559,0.254,0.164,1.6,1.4,23.3
